Date,Annual Members,OneDay,ThreeSeven
1/1/14,97183,2855,328
2/1/14,97864,2459,236
3/1/14,100600,9652,735
4/1/14,105367,25641,1871
5/1/14,105355,40618,3260
6/1/14,96318,43858,3658
7/1/14,93501,42300,3530
8/1/14,93184,48086,3658
9/1/14,90879,35302,3113
10/1/14,89286,25197,2224
11/1/14,88495,10723,843
12/1/14,88405,6218,590
1/1/15,88010,2325,181
2/1/15,87898,891,112
3/1/15,87910,4029,432
4/1/15,86193,27177,2074
5/1/15,84335,57087,4612
6/1/15,86743,40606,4231
7/1/15,80885,54440,5220
8/1/15,81406,65914,5605
9/1/15,87842,61958,5806
10/1/15,90585,45545,4060
11/1/15,91901,31866,2510
12/1/15,92781,23558,1615
1/1/16,93366,8592,608
2/1/16,94324,10995,634
3/1/16,97302,31520,2324
4/1/16,100171,45081,3092
5/1/16,105465,53965,4562
6/1/16,108601,64606,4625
7/1/16,109961,61930,4851
8/1/16,114517,63904,5040
9/1/16,118568,64841,5479
10/1/16,118950,49459,4000
11/1/16,119467,27897,2097
12/1/16,119681,11668,829
1/1/17,120460,8348,455
2/1/17,121592,16000,750
3/1/17,121743,10943,908
4/1/17,124450,68917,5148
5/1/17,128438,59142,6927
6/1/17,130301,67467,7138
7/1/17,132265,78879,8628
8/1/17,132679,76637,8379
9/1/17,133944,70442,7640
10/1/17,136499,61552,7230
11/1/17,136510,27987,3018
12/1/17,136702,11987,1173
1/1/18,137003,8091,538
2/1/18,138109,11748,955
3/1/18,138109,20295,1537
4/1/18,140462,39616,2522
5/1/18,144590,60504,5623
6/1/18,146533,66356,5126
7/1/18,147040,69329,5082
8/1/18,146567,62686,5198
9/1/18,146437,53687,6698